Drug,Concentration (µM),mouse_1,pig_1,dog_1,dog_2,mouse_2,mouse_3,cynomolgus_1,cynomolgus_2,human_1,spiny_1,spiny_2,goat_1,ferret_1,ferret_2,blackhouse_1,serotine_1,serotine_2,hmouse_1,steppe_1,blackhouse_2,steppe_2,spiny_3,hmouse_2,rat_1,ferret_3,goat_2,serotine_3,cattle_1,pig_2,blackhouse_3,cattle_2,chick_2,human_2,cattle_3,chick_3,chick_1,sakhalin_1,sakhalin_2,guineapig_3,rat_2,rat_3,marmoset_1,guineapig_1,guineapig_2,marmoset_2,marmoset_3,pig_3,sakhalin_3,human_3,human_4,cynomolgus_3,hmouse_3,goat_3
Alpelisib,"0,0032",91.31252564,143.9613728,137.3050126,101.8196931,113.4233593,102.71479,103.7921317,77.23694256,65.9092777,133.7751679,76.11350536,130.1082095,133.0216022,120.0110211,92.10684315,103.0285628,122.503146,91.46430624,79.52794618,95.76571846,120.384702,86.03335517,129.3330329,61.91996627,77.75794062,114.4778434,85.08295352,103.6808945,101.5470315,49.50841331,92.2647363,49.32870063,122.8166028,99.45263016,95.70049579,101.9599711,116.3703072,139.2505966,122.0214928,98.05338987,75.80057553,59.89716894,67.33240706,54.09849111,94.20494129,76.83421487,62.11392975,59.14394529,129.7029138,165.6446193,105.0550584,126.82009,118.8308589
Alpelisib,"0,016",100.4508959,231.6471899,64.62477564,136.0369068,76.41691148,59.92274,33.29669266,151.9944845,142.7814322,93.47677717,104.7658497,142.384841,65.80482013,69.13485554,128.0530349,108.7515634,91.04706377,83.38815858,129.3134648,113.3199364,123.1549278,94.65233506,116.013752,69.41031389,106.1690191,146.6453993,99.70077457,122.7999552,189.78931,139.3171133,96.95011208,139.455186,182.7557957,84.54948678,57.90001625,139.8226525,106.4109648,43.71125846,141.6864521,108.1527221,98.43739575,132.2430446,152.7680358,39.77257041,121.0279211,164.9430428,207.1030114,78.51454249,91.9640185,64.13538599,29.22626201,86.6849136,51.81541956
Alpelisib,"0,08",83.54328443,94.63262509,122.2823365,130.7678762,150.0566732,58.199659,60.74313686,95.75057358,64.63939946,109.1701984,92.11430853,68.49022471,84.76560714,108.185128,104.5123018,75.52054047,72.2456311,86.98034892,167.4280269,97.61246267,61.2676493,95.44148957,129.967056,97.35668975,131.5976428,84.11466874,90.54121059,101.5641595,128.5222007,58.26297477,99.90523246,154.7575422,30.49575259,105.6909194,82.59810348,142.8369197,126.2724841,79.25033576,123.0843202,89.58322693,75.51354509,94.009171,88.44137167,164.9543403,106.5481872,107.7196283,117.2124602,45.32746783,114.2463153,129.0294744,57.47509778,72.8321592,125.497937
Alpelisib,"0,400",122.5246681,26.28473514,26.00001854,31.01640493,109.638519,104.57727,98.51546986,63.2965502,49.8428755,90.24866691,100.486496,114.0543497,113.5879645,92.29878308,36.69745717,103.7133817,91.86258361,74.76335631,25.77496274,24.16890965,114.878292,90.93923443,136.4379736,51.33408675,76.30878583,169.0931417,40.05423269,116.923605,128.4021145,98.47125562,118.1340133,187.5380955,66.15847062,76.7463036,89.55664832,19.82463304,25.07519202,10.49444397,26.26346663,25.38321811,51.95829356,64.04686183,206.0621429,14.49806821,144.1315819,198.8330571,139.5643239,10.98050231,119.3419761,33.66046384,94.11594282,73.9795374,81.74896542
Alpelisib,2,113.607182,36.39001762,71.76585169,94.13341976,115.8244319,139.4623,37.55564857,91.50741794,83.23628294,100.8034519,110.8285572,115.315605,126.0113654,82.60448517,91.8022915,100.6876963,93.80816904,46.19361356,173.1322995,81.73516359,90.18473752,32.59635,67.64556722,28.42754194,125.6018365,96.4406134,21.29024604,176.4652944,77.38789163,112.6653668,108.8858978,10.99977652,116.506684,97.71814639,23.38017189,95.63279627,24.486245,3.814697315,116.671963,23.85912954,22.10621875,62.62001436,28.54759946,15.59266652,138.2513769,149.6383704,68.39815617,1.313268729,125.3770005,61.84508331,35.78756935,89.606782,109.6557803
Alpelisib,10,79.40430876,4.345637912,60.58676263,26.38817617,88.66446834,106.87916,71.78554657,55.47154354,33.3168355,134.9750661,64.653829,109.0050651,71.5362823,47.70068998,39.55525542,51.94702216,37.10974003,49.63223725,75.21049249,99.12701381,33.16119645,3.946677231,78.53032594,3.154962975,154.2865743,32.34772775,5.373712203,8.770660104,20.01194627,198.017062,77.75862729,2.754621232,48.37314401,7.035982856,5.448617147,21.0936038,4.913492437,2.543245766,32.56596149,5.093201506,13.22165989,70.03849051,7.395189451,58.86730188,246.8269197,6.102695162,17.92395348,1.881792411,60.00416829,51.76808771,70.73878766,27.5291267,65.08758406
Everolimus,0.0000256,73.43414136,33.32135514,16.50786572,27.99639616,92.33491576,78.704847,77.57285308,64.1341268,51.27579118,94.73407855,46.44459992,127.9536914,86.90369807,97.66587164,7.811462658,93.48541745,112.4819996,88.94634818,30.56702259,145.9666131,96.67374835,91.26622826,65.05485279,123.0554422,64.15968282,149.0118931,105.7199556,122.1642919,137.8028753,103.967474,105.1518816,36.97212192,174.1313911,106.9427876,113.8653453,84.66802063,37.56260287,5.539993939,33.06281605,38.43374421,111.5233896,64.31607413,35.65118436,3.565077442,191.4940249,156.8892872,121.5285373,81.11520617,37.68081079,22.31578888,51.93707704,106.138853,94.07758847
Everolimus,0.000128,71.40430092,170.2308333,168.8579973,136.1214638,80.73198781,109.52163,103.4294497,87.47272489,56.52071191,115.8383209,60.91575963,86.19024431,86.1185519,99.65699669,107.7283415,104.2655549,115.3573878,100.1152799,130.5589143,121.2460308,46.71829682,94.53884719,106.4636807,81.91860086,87.00648016,119.9718278,54.44507145,108.6287588,39.74499778,85.49347475,91.49791442,181.3933574,78.20271867,72.78117448,94.86800429,136.6293577,132.7546242,90.2586679,117.1978483,91.52465981,118.4645028,76.79282537,76.31326565,87.62697909,75.60546189,92.18054358,106.2579239,101.4889365,124.7837123,139.2897017,98.39640695,113.363711,82.64588342
Everolimus,0.00064,98.92729498,133.5332664,88.90684225,61.65952359,117.1742545,131.41988,95.99085637,123.1449801,69.75271538,114.5213126,57.32755131,112.8817291,138.7137755,90.63746993,111.9363056,139.7142367,103.9596131,86.15136175,67.35582894,104.575301,144.1406952,84.2488782,90.55046898,104.2118018,66.4629665,188.6093194,92.18086962,72.34452303,137.1882497,42.86352232,107.5240977,72.40944619,92.90503458,43.23490196,146.0265093,70.50625772,157.624226,21.38116695,92.81759225,68.84524463,125.473697,66.13896643,116.2801622,14.48507595,106.6728157,91.99516866,66.61790919,36.66360047,132.207393,150.604305,96.67107466,175.842613,101.8259305
Everolimus,"0,0032",74.44079681,139.1959757,111.2881858,78.55082056,143.9918244,152.95514,142.0344774,111.1088014,138.3223272,92.68714813,84.74545913,97.38473737,125.6124751,102.8375452,107.0706498,143.0237362,106.2641018,102.5183252,106.3862997,113.695459,74.21368696,59.28352363,74.67607958,60.03389452,169.8675005,125.8809619,45.60043183,120.7048927,46.33471796,142.5797658,95.86911282,153.0081585,61.45673297,102.6405313,124.3812377,56.09318467,88.23374677,30.21538318,137.8002224,108.1140498,121.646707,56.39339214,34.77268694,73.8662219,120.4323915,161.9456533,112.1669133,31.59548806,117.7995966,38.9639098,143.3559393,126.091717,100.2695445
